,Ocupação,Frequência
0,"Forças Armadas, Policiais e Bombeiros Militares",63
1,"Membros superiores do poder público, dirigentes de organizações de interesse público e de empresas e gerentes",292
2,Profissionais das ciências e das artes,90
3,Técnicos de nível médio,223
4,Trabalhadores de serviços administrativos,16
5,"Trabalhadores dos serviços, vendedores do comércio em lojas e mercados",735
6,"Trabalhadores agropecuários, florestais, da caça e pesca",2058
7,Trabalhadores da produção de bens e serviços industriais (discretos),1363
8,Trabalhadores da produção de bens e serviços industriais (contínuos),44
9,Trabalhadores de manutenção e reparação,1519
